#Dados para o script geraGrafico.gnu da Busca Sequencial Recursiva
#X        #Y        #W
50     0.001      2101
50     0.001    196997
50     0.001     93127
100     0.001      1417
100     0.001    198028
100     0.001    100484
1000     0.021         9
1000      0.01    199838
1000     0.005     99047
10000     0.184         0
10000     0.085    199983
10000     0.046    100322
100000     1.342         3
100000     0.611    199992
100000     0.406    100320
