#Dados para o script geraGrafico.gnu  da Busca Sequencial Iterativa
#X        #Y        #W
50         0      2101
50     0.001    196997
50     0.001     93127
100         0      1417
100     0.001    198028
100         0    100484
1000         0         9
1000     0.005    199838
1000     0.002     99047
10000     0.001         0
10000     0.041    199983
10000      0.02    100322
100000         0         3
100000     0.305    199992
100000     0.141    100320
